algo name,input dist,retval,n elem,round no,n comps,time sec
bubblesort,almost rising,2,1000000,2,1073741824,12.058088000
bubblesort,almost rising,2,1000000,3,1073741824,12.081637400
insertion,random,2,1000000,1,1073741824,13.071019500
insertion,random,2,1000000,2,1073741824,13.073386700
insertion,random,2,1000000,3,1073741824,6.027513000
insertion,rising,0,1000000,1,999999,0.001511800
insertion,rising,0,1000000,2,999999,0.001363100
insertion,rising,0,1000000,3,999999,0.001363500
insertion,almost rising,0,1000000,1,10823553,0.024172000
insertion,almost rising,0,1000000,2,10217863,0.022259700
insertion,almost rising,0,1000000,3,11878733,0.029008300
merge sort,random,0,1000000,1,18674179,1.066014000
merge sort,random,0,1000000,2,18674519,1.064139900
merge sort,random,0,1000000,3,18674189,1.065527200
merge sort,rising,0,1000000,1,9884992,0.074110600
merge sort,rising,0,1000000,2,9884992,0.075414400
merge sort,rising,0,1000000,3,9884992,0.075709000
merge sort,almost rising,0,1000000,1,11644233,0.078464100
merge sort,almost rising,0,1000000,2,11639656,0.079692700
merge sort,almost rising,0,1000000,3,11935886,0.080285500
high pivot quicksort,random,0,1000000,1,24814905,1.002819700
high pivot quicksort,random,0,1000000,2,25106161,1.004838300
high pivot quicksort,random,0,1000000,3,27317314,1.009934600
high pivot quicksort,rising,2,1000000,1,1073741824,8.068981700
high pivot quicksort,rising,2,1000000,2,1073741824,8.041778900
high pivot quicksort,rising,2,1000000,3,1073741824,8.090203600
high pivot quicksort,almost rising,2,1000000,1,1073741824,9.028671300
high pivot quicksort,almost rising,2,1000000,2,1073741824,9.026591100
high pivot quicksort,almost rising,2,1000000,3,1073741824,8.099282600
selection,random,2,1000000,1,1073741824,7.038567900
selection,random,2,1000000,2,1073741824,7.005846200
selection,random,2,1000000,3,1073741824,7.017920900
selection,rising,2,1000000,1,1073741824,7.049775300
selection,rising,2,1000000,2,1073741824,7.060041600
selection,rising,2,1000000,3,1073741824,7.081606600
selection,almost rising,2,1000000,1,1073741824,7.060305900
selection,almost rising,2,1000000,2,1073741824,7.082689600
selection,almost rising,2,1000000,3,1073741824,7.074738600
stdlib qsort,random,0,1000000,1,0,0.095760400
stdlib qsort,random,0,1000000,2,0,0.097292000
stdlib qsort,random,0,1000000,3,0,0.097083300
stdlib qsort,rising,0,1000000,1,0,0.031892300
stdlib qsort,rising,0,1000000,2,0,0.028744100
stdlib qsort,rising,0,1000000,3,0,0.027789900
stdlib qsort,almost rising,0,1000000,1,0,0.028387800
stdlib qsort,almost rising,0,1000000,2,0,0.028038700
stdlib qsort,almost rising,0,1000000,3,0,0.029113800
deterministic bogosort,random,2,1000000,1,1073741824,7.018122500
deterministic bogosort,random,2,1000000,2,1073741824,7.012930000
deterministic bogosort,random,2,1000000,3,1073741824,6.082777100
deterministic bogosort,rising,0,1000000,1,999999,0.002877200
deterministic bogosort,rising,0,1000000,2,999999,0.002965700
deterministic bogosort,rising,0,1000000,3,999999,0.003631700
deterministic bogosort,almost rising,2,1000000,1,1073741824,6.025974000
deterministic bogosort,almost rising,2,1000000,2,1073741824,7.019481100
deterministic bogosort,almost rising,2,1000000,3,1073741824,6.022579000
extended radix sort,random,0,1000000,1,0,0.020927000
extended radix sort,random,0,1000000,2,0,0.025217300
extended radix sort,random,0,1000000,3,0,0.019062300
extended radix sort,rising,0,1000000,1,0,0.021366400
extended radix sort,rising,0,1000000,2,0,0.021133900
extended radix sort,rising,0,1000000,3,0,0.022178100
extended radix sort,almost rising,0,1000000,1,0,0.022116300
extended radix sort,almost rising,0,1000000,2,0,0.021535500
extended radix sort,almost rising,0,1000000,3,0,0.021686800
bubblesort,random,2,10000000,1,1073741824,7.066705800
bubblesort,random,2,10000000,2,1073741824,7.033042900
bubblesort,random,2,10000000,3,1073741824,7.052253900
bubblesort,rising,2,10000000,1,1073741824,7.040450200
bubblesort,rising,2,10000000,2,1073741824,7.055999000
bubblesort,rising,2,10000000,3,1073741824,7.055791100
bubblesort,almost rising,2,10000000,1,1073741824,8.027560800
bubblesort,almost rising,2,10000000,2,1073741824,8.030230300
bubblesort,almost rising,2,10000000,3,1073741824,7.096735700
insertion,random,2,10000000,1,1073741824,8.051106500
insertion,random,2,10000000,2,1073741824,9.013975100
insertion,random,2,10000000,3,1073741824,9.052449800
insertion,rising,0,10000000,1,9999999,0.015607000
insertion,rising,0,10000000,2,9999999,0.015357700
insertion,rising,0,10000000,3,9999999,0.014630600
insertion,almost rising,0,10000000,1,134781135,5.030283700
insertion,almost rising,0,10000000,2,113448089,6.009079400
insertion,almost rising,0,10000000,3,158493169,8.075864900
merge sort,random,0,10000000,1,220103085,8.057451400
merge sort,random,0,10000000,2,220104623,8.068010500
merge sort,random,0,10000000,3,220097104,8.061858000
merge sort,rising,0,10000000,1,114434624,3.002920600
merge sort,rising,0,10000000,2,114434624,3.000484200
merge sort,rising,0,10000000,3,114434624,2.090055200
merge sort,almost rising,0,10000000,1,129691889,3.050671500
merge sort,almost rising,0,10000000,2,130261234,3.059413400
merge sort,almost rising,0,10000000,3,132323349,3.089218600
high pivot quicksort,random,0,10000000,1,300704717,4.031393100
high pivot quicksort,random,0,10000000,2,294218384,3.099286500
high pivot quicksort,random,0,10000000,3,309861028,4.045305000
high pivot quicksort,rising,2,10000000,1,1073741824,8.049563600
high pivot quicksort,rising,2,10000000,2,1073741824,8.039254500
high pivot quicksort,rising,2,10000000,3,1073741824,8.040651800
high pivot quicksort,almost rising,2,10000000,1,1073741824,8.036189000
high pivot quicksort,almost rising,2,10000000,2,1073741824,7.098089300
high pivot quicksort,almost rising,2,10000000,3,1073741824,8.035615400
selection,random,2,10000000,1,1073741824,7.075672700
selection,random,2,10000000,2,1073741824,7.077681000
selection,random,2,10000000,3,1073741824,7.084278200
selection,rising,2,10000000,1,1073741824,7.076284300
selection,rising,2,10000000,2,1073741824,7.052277900
selection,rising,2,10000000,3,1073741824,7.080794900
selection,almost rising,2,10000000,1,1073741824,7.085823800
selection,almost rising,2,10000000,2,1073741824,7.066810100
selection,almost rising,2,10000000,3,1073741824,7.084709400
stdlib qsort,random,0,10000000,1,0,10.019399900
stdlib qsort,random,0,10000000,2,0,10.017165500
stdlib qsort,random,0,10000000,3,0,10.028774100
stdlib qsort,rising,0,10000000,1,0,7.093619900
stdlib qsort,rising,0,10000000,2,0,7.042843000
stdlib qsort,rising,0,10000000,3,0,5.061555500
stdlib qsort,almost rising,0,10000000,1,0,3.037543700
stdlib qsort,almost rising,0,10000000,2,0,3.036872400
stdlib qsort,almost rising,0,10000000,3,0,3.041833700
deterministic bogosort,random,2,10000000,1,1073741824,7.061167400
deterministic bogosort,random,2,10000000,2,1073741824,7.079350200
deterministic bogosort,random,2,10000000,3,1073741824,8.025234100
deterministic bogosort,rising,0,10000000,1,9999999,0.029562000
deterministic bogosort,rising,0,10000000,2,9999999,0.029294900
deterministic bogosort,rising,0,10000000,3,9999999,0.034683800
deterministic bogosort,almost rising,2,10000000,1,1073741824,7.060917500
deterministic bogosort,almost rising,2,10000000,2,1073741824,7.095639800
deterministic bogosort,almost rising,2,10000000,3,1073741824,7.052952600
extended radix sort,random,0,10000000,1,0,2.030289800
extended radix sort,random,0,10000000,2,0,2.021665800
extended radix sort,random,0,10000000,3,0,2.033425400
extended radix sort,rising,0,10000000,1,0,2.034046700
extended radix sort,rising,0,10000000,2,0,2.042007000
extended radix sort,rising,0,10000000,3,0,2.057892400
extended radix sort,almost rising,0,10000000,1,0,2.036855400
extended radix sort,almost rising,0,10000000,2,0,2.040671800
extended radix sort,almost rising,0,10000000,3,0,2.034887800
